seed_id,provisional_title,verified_title,verified_authors,verified_year,verified_venue,verified_doi,openalex_id,semantic_scholar_id,crossref_match_status,metadata_confidence,scope_fit_after_verification,recommended_final_seed_status,verification_notes
E0-D001,"How Mafias Migrate: The Case of the ‘Ndrangheta in Northern Italy","How Mafias Migrate: The Case of the `Ndrangheta in Northern Italy","Varese, Federico",2006,Governance,10.1111/j.1540-5893.2006.00260.x,,,matched_high,high,direct,core_seed,"Crossref title-year-author alignment; strong direct fit."
E0-D002,"Mafias on the Move: How Organized Crime Conquers New Territories","Mafias on the Move: How Organized Crime Conquers New Territories","Varese, Federico",2011,Princeton University Press,,,,matched_medium,medium,contextual_strong,contextual_seed,"Book-level metadata consistent; DOI not required."
E0-D003,"Organized Crime in Europe: Concepts, Patterns and Control Policies in the European Union and Beyond",,,,,,,,no_confident_match,low,contextual_weak,candidate_seed,"Needs exact bibliographic disambiguation (edition/chapter)."
E0-D004,"The Oxford Handbook of Organized Crime (selected chapters on markets/firms/governance)","The Oxford Handbook of Organized Crime","Paoli, Letizia (ed.)",2014,Oxford University Press,,,,matched_medium,medium,contextual_strong,contextual_seed,"Use chapter-level extraction for final seed precision."
E0-D005,"The infiltration of the legal economy by organised crime: evidence and policy implications (Italy)",,,,,,,,no_confident_match,low,direct,unresolved,"Likely report-series item; exact citation unresolved."
E0-D006,"Organized crime groups in the construction industry in Italy",,,,,,,,no_confident_match,unresolved,direct,unresolved,"Provisional title; verify existence and authorship."
E0-D007,"Mafia and Public Contracts in Italy",,,,,,,,ambiguous_match,low,direct,candidate_seed,"Crossref returns near-neighbors but not confident exact-title match."
E0-D008,"Mafia in the Public Works Sector: Organised Crime and Local Economic Control",,,,,,,,no_confident_match,low,direct,candidate_seed,"Likely paraphrased title; verify exact source."
E0-D009,"Criminal Entrepreneurship",,,,,,,,ambiguous_match,low,contextual_weak,candidate_seed,"Multiple generic matches; needs exact bibliographic identity."
E0-D010,"Illegal Entrepreneurs and Organized Crime: Conceptual Boundaries and Overlaps",,,,,,,,no_confident_match,low,contextual_weak,candidate_seed,"Likely conceptual piece; exact record unresolved."
E0-D011,"Organized crime as a business: comparative perspectives",,,,,,,,no_confident_match,low,contextual_weak,reject,"Too generic without a specific verified paper."
E0-D012,"The Governance of Criminal Organizations and Interface with Legal Business",,,,,,,,no_confident_match,low,contextual_weak,candidate_seed,"Needs precise publication data."
E0-D013,"Corruption and Public Procurement: Evidence from Italian Municipalities",,,,,,,,ambiguous_match,low,contextual_strong,candidate_seed,"Crossref hit diverges on title; verify intended paper before promotion."
E0-D014,"Organized crime, corruption and procurement in Italy: empirical evidence",,,,,,,,no_confident_match,low,direct,candidate_seed,"No confident exact match."
E0-D015,"Mafia and the Allocation of Public Works",,,,,,,,no_confident_match,low,direct,candidate_seed,"Verify canonical title/venue."
E0-D016,"Procurement cartels, collusion and criminal control in local markets",,,,,,,,no_confident_match,low,contextual_weak,reject,"Scope too broad unless explicit OC infiltration evidence."
E0-D017,"The eco-mafia and illegal waste markets in Italy",,,,,,,,ambiguous_match,low,contextual_weak,candidate_seed,"Often report literature; verify academic source quality."
E0-D018,"Organised crime in the waste management sector: business models and control strategies",,,,,,,,no_confident_match,low,direct,candidate_seed,"Needs exact article verification."
E0-D019,"Mafia infiltration in construction and real estate markets in Italy",,,,,,,,no_confident_match,low,direct,candidate_seed,"Likely relevant but unresolved bibliographic identity."
E0-D020,"Criminal governance in transport and logistics markets",,,,,,,,no_confident_match,low,direct,candidate_seed,"Verify article-level source."
E0-D021,"Beneficial Ownership Transparency and the Misuse of Corporate Vehicles",,,,,,,,ambiguous_match,low,contextual_strong,candidate_seed,"Likely policy/report corpus; requires scholarly source selection."
E0-D022,"Corporate structures and organized crime infiltration: shell firms and nominee ownership",,,,,,,,no_confident_match,low,direct,candidate_seed,"Title appears provisional."
E0-D023,"The social economy of organised crime and legal business interfaces",,,,,,,,no_confident_match,low,contextual_strong,candidate_seed,"Verify exact source and scope fit."
E0-D024,"Directors, interlocking ownership and suspicious corporate control networks",,,,,,,,no_confident_match,low,direct,candidate_seed,"Could overlap methodology papers; verify direct infiltration focus."
E0-D025,"The Scale and Impacts of Money Laundering","The Scale and Impacts of Money Laundering","Unger, Brigitte; Ferwerda, Joras",2007,Edward Elgar Publishing,10.4337/9781781007624,,,matched_high,high,contextual_strong,contextual_seed,"Crossref confirms book metadata."
E0-D026,"Trade-Based Money Laundering: Risk and Detection",,,,,,,,no_confident_match,low,contextual_weak,candidate_seed,"Needs precise source; title may be composite."
E0-D027,"Anti-money laundering policies and criminal investment in legal sectors",,,,,,,,no_confident_match,low,direct,candidate_seed,"Verify exact paper and dataset basis."
E0-D028,"Professional facilitators and corporate vehicles in laundering schemes",,,,,,,,ambiguous_match,low,contextual_strong,candidate_seed,"Likely multiple works; requires disambiguation."
E0-D029,"Social Network Analysis and Crime: A Review",,,,,,,,ambiguous_match,low,contextual_strong,candidate_seed,"Crossref returns chapter-level near match; verify intended source."
E0-D030,"Measuring Organised Crime Infiltration in the Legitimate Economy using administrative/company data",,,,,,,,no_confident_match,low,direct,unresolved,"Currently placeholder descriptor, not a verified citation."
E0-D031,"Judicial records as data for organized crime research: strengths and biases",,,,,,,,no_confident_match,low,contextual_strong,candidate_seed,"Verify exact methodological paper."
E0-D032,"Mixed-methods designs for studying organized crime-business relations",,,,,,,,no_confident_match,low,contextual_strong,candidate_seed,"Likely thematic descriptor; needs concrete source."
